Date,"Paracetamolo"
2018-10-30,896
2018-10-31,799
2018-11-01,869
2018-11-02,850
2018-11-03,860
2018-11-04,879
2018-11-05,985
2018-11-06,903
2018-11-07,957
2018-11-08,998
2018-11-09,937
2018-11-10,885
2018-11-11,874
2018-11-12,964
2018-11-13,978
2018-11-14,1021
2018-11-15,1015
2018-11-16,895
2018-11-17,938
2018-11-18,908
2018-11-19,995
2018-11-20,1010
2018-11-21,1008
2018-11-22,946
2018-11-23,749
2018-11-24,857
2018-11-25,862
2018-11-26,933
2018-11-27,916
2018-11-28,940
2018-11-29,822
2018-11-30,805
2018-12-01,881
2018-12-02,767
2018-12-03,879
2018-12-04,905
2018-12-05,910
2018-12-06,979
2018-12-07,870
2018-12-08,840
2018-12-09,981
