Date,"Vaccino"
2018-11-07,366
2018-11-08,378
2018-11-09,313
2018-11-10,251
2018-11-11,417
2018-11-12,588
2018-11-13,555
2018-11-14,475
2018-11-15,499
2018-11-16,470
2018-11-17,311
2018-11-18,428
2018-11-19,568
2018-11-20,547
2018-11-21,479
2018-11-22,569
2018-11-23,455
2018-11-24,338
2018-11-25,323
2018-11-26,421
2018-11-27,445
2018-11-28,444
2018-11-29,471
2018-11-30,329
2018-12-01,303
2018-12-02,473
2018-12-03,581
2018-12-04,413
2018-12-05,435
2018-12-06,382
2018-12-07,285
2018-12-08,196
2018-12-09,325
