Date,"Rinorrea"
2018-03-03,34
2018-03-04,40
2018-03-05,34
2018-03-06,47
2018-03-07,45
2018-03-08,57
2018-03-09,62
2018-03-10,49
2018-03-11,53
2018-03-12,56
2018-03-13,52
2018-03-14,68
2018-03-15,65
2018-03-16,60
2018-03-17,40
2018-03-18,44
2018-03-19,68
2018-03-20,67
2018-03-21,36
2018-03-22,43
2018-03-23,49
2018-03-24,38
2018-03-25,46
2018-03-26,59
2018-03-27,49
2018-03-28,46
2018-03-29,38
2018-03-30,31
2018-03-31,39
2018-04-01,43
2018-04-02,38
2018-04-03,62
2018-04-04,71
2018-04-05,67
2018-04-06,65
2018-04-07,35
2018-04-08,53
2018-04-09,50
2018-04-10,57
2018-04-11,47
2018-04-12,61
2018-04-13,44
2018-04-14,51
2018-04-15,36
2018-04-16,60
2018-04-17,50
2018-04-18,55
2018-04-19,63
2018-04-20,50
2018-04-21,60
2018-04-22,56
2018-04-23,66
2018-04-24,57
2018-04-25,36
2018-04-26,49
2018-04-27,44
2018-04-28,42
2018-04-29,53
2018-04-30,53
2018-05-01,54
2018-05-02,72
2018-05-03,52
2018-05-04,40
2018-05-05,49
2018-05-06,41
2018-05-07,41
2018-05-08,43
2018-05-09,41
2018-05-10,32
2018-05-11,52
2018-05-12,38
2018-05-13,30
2018-05-14,37
2018-05-15,54
2018-05-16,48
2018-05-17,53
2018-05-18,32
2018-05-19,33
2018-05-20,42
2018-05-21,45
2018-05-22,45
2018-05-23,52
2018-05-24,47
2018-05-25,36
2018-05-26,43
2018-05-27,40
2018-05-28,57
2018-05-29,31
2018-05-30,24
2018-05-31,41
2018-06-01,29
2018-06-02,30
2018-06-03,29
2018-06-04,44
2018-06-05,50
2018-06-06,41
2018-06-07,44
2018-06-08,28
2018-06-09,36
2018-06-10,40
2018-06-11,44
2018-06-12,39
2018-06-13,36
2018-06-14,35
2018-06-15,26
2018-06-16,23
2018-06-17,29
2018-06-18,39
2018-06-19,35
2018-06-20,22
2018-06-21,36
2018-06-22,36
2018-06-23,32
2018-06-24,35
2018-06-25,31
2018-06-26,43
2018-06-27,21
2018-06-28,24
2018-06-29,28
2018-06-30,27
2018-07-01,30
2018-07-02,33
2018-07-03,9
2018-07-04,11
2018-07-05,29
2018-07-06,25
2018-07-07,15
2018-07-08,18
2018-07-09,23
2018-07-10,29
2018-07-11,29
2018-07-12,26
2018-07-13,25
2018-07-14,22
2018-07-15,22
