Date,"Febbre"
2018-05-03,302
2018-05-04,275
2018-05-05,278
2018-05-06,267
2018-05-07,302
2018-05-08,281
2018-05-09,301
2018-05-10,311
2018-05-11,279
2018-05-12,284
2018-05-13,231
2018-05-14,313
2018-05-15,388
2018-05-16,369
2018-05-17,307
2018-05-18,307
2018-05-19,252
2018-05-20,280
2018-05-21,386
2018-05-22,346
2018-05-23,337
2018-05-24,316
2018-05-25,258
2018-05-26,220
2018-05-27,265
2018-05-28,294
2018-05-29,328
2018-05-30,340
2018-05-31,299
2018-06-01,235
2018-06-02,262
2018-06-03,272
2018-06-04,305
2018-06-05,282
2018-06-06,279
2018-06-07,340
2018-06-08,263
2018-06-09,252
2018-06-10,284
2018-06-11,303
2018-06-12,333
2018-06-13,343
2018-06-14,349
2018-06-15,227
2018-06-16,340
2018-06-17,300
2018-06-18,311
2018-06-19,319
2018-06-20,287
2018-06-21,295
2018-06-22,314
2018-06-23,254
2018-06-24,259
2018-06-25,290
2018-06-26,293
2018-06-27,294
2018-06-28,290
2018-06-29,272
2018-06-30,242
2018-07-01,287
2018-07-02,326
2018-07-03,286
2018-07-04,186
2018-07-05,256
2018-07-06,297
2018-07-07,277
2018-07-08,250
2018-07-09,321
2018-07-10,241
2018-07-11,309
2018-07-12,293
2018-07-13,287
2018-07-14,256
2018-07-15,252
2018-07-16,314
2018-07-17,268
2018-07-18,442
2018-07-19,242
2018-07-20,222
2018-07-21,222
2018-07-22,210
2018-07-23,266
2018-07-24,256
2018-07-25,262
2018-07-26,278
2018-07-27,212
2018-07-28,153
2018-07-29,173
2018-07-30,197
2018-07-31,183
2018-08-01,220
2018-08-02,265
2018-08-03,242
2018-08-04,278
2018-08-05,244
2018-08-06,234
2018-08-07,230
2018-08-08,244
2018-08-09,446
2018-08-10,329
2018-08-11,255
2018-08-12,280
2018-08-13,340
2018-08-14,279
2018-08-15,308
2018-08-16,284
2018-08-17,295
2018-08-18,290
2018-08-19,329
2018-08-20,359
2018-08-21,334
2018-08-22,455
2018-08-23,434
2018-08-24,396
2018-08-25,364
2018-08-26,407
2018-08-27,677
2018-08-28,502
2018-08-29,478
2018-08-30,413
2018-08-31,405
2018-09-01,375
2018-09-02,394
2018-09-03,411
2018-09-04,484
2018-09-05,442
2018-09-06,495
2018-09-07,375
2018-09-08,396
2018-09-09,399
2018-09-10,454
2018-09-11,498
2018-09-12,485
2018-09-13,412
2018-09-14,355
2018-09-15,365
2018-09-16,454
2018-09-17,529
2018-09-18,567
2018-09-19,533
2018-09-20,501
2018-09-21,416
2018-09-22,397
2018-09-23,509
2018-09-24,517
2018-09-25,559
2018-09-26,599
2018-09-27,504
2018-09-28,437
2018-09-29,425
2018-09-30,494
2018-10-01,536
2018-10-02,531
2018-10-03,613
2018-10-04,496
2018-10-05,469
2018-10-06,549
2018-10-07,562
2018-10-08,556
2018-10-09,582
2018-10-10,628
2018-10-11,581
2018-10-12,495
2018-10-13,464
2018-10-14,494
2018-10-15,616
2018-10-16,641
2018-10-17,582
2018-10-18,583
2018-10-19,496
2018-10-20,431
2018-10-21,555
2018-10-22,585
2018-10-23,579
2018-10-24,537
2018-10-25,574
2018-10-26,452
2018-10-27,444
2018-10-28,541
2018-10-29,439
2018-10-30,542
2018-10-31,541
2018-11-01,518
2018-11-02,446
2018-11-03,488
2018-11-04,593
2018-11-05,635
2018-11-06,592
2018-11-07,599
2018-11-08,612
2018-11-09,457
2018-11-10,483
2018-11-11,619
2018-11-12,625
2018-11-13,600
2018-11-14,574
2018-11-15,583
2018-11-16,594
2018-11-17,553
2018-11-18,621
2018-11-19,740
2018-11-20,815
2018-11-21,699
2018-11-22,874
2018-11-23,450
2018-11-24,398
2018-11-25,392
2018-11-26,539
2018-11-27,503
2018-11-28,429
2018-11-29,389
2018-11-30,351
2018-12-01,313
2018-12-02,359
2018-12-03,422
2018-12-04,435
2018-12-05,497
2018-12-06,475
2018-12-07,444
2018-12-08,356
2018-12-09,426
