Date,"Pagina principale"
2018-01-21,577823
2018-01-22,670313
2018-01-23,661530
2018-01-24,653405
2018-01-25,695410
2018-01-26,664678
2018-01-27,600075
2018-01-28,609352
2018-01-29,672154
2018-01-30,662809
2018-01-31,681798
2018-02-01,713829
2018-02-02,723984
2018-02-03,641471
2018-02-04,650252
2018-02-05,710730
2018-02-06,693460
2018-02-07,688505
2018-02-08,693098
2018-02-09,663058
2018-02-10,624301
2018-02-11,626330
2018-02-12,691299
2018-02-13,712730
2018-02-14,680058
2018-02-15,695350
2018-02-16,655280
2018-02-17,610172
2018-02-18,614426
2018-02-19,667569
2018-02-20,649146
2018-02-21,655798
2018-02-22,671367
2018-02-23,684729
2018-02-24,602664
2018-02-25,606022
2018-02-26,652457
2018-02-27,654133
2018-02-28,656338
2018-03-01,657840
2018-03-02,643797
2018-03-03,598980
2018-03-04,590483
2018-03-05,641791
2018-03-06,639859
2018-03-07,621936
2018-03-08,618962
2018-03-09,626911
2018-03-10,558186
2018-03-11,571184
2018-03-12,609943
2018-03-13,610482
2018-03-14,626877
2018-03-15,632583
2018-03-16,610118
2018-03-17,563598
2018-03-18,572272
2018-03-19,624511
2018-03-20,646585
2018-03-21,647872
2018-03-22,655743
2018-03-23,670256
2018-03-24,613185
2018-03-25,595910
2018-03-26,668703
2018-03-27,646411
2018-03-28,630783
2018-03-29,638487
2018-03-30,612459
2018-03-31,563546
2018-04-01,549459
2018-04-02,595983
2018-04-03,680599
2018-04-04,704139
2018-04-05,662328
2018-04-06,647161
2018-04-07,595407
2018-04-08,582107
2018-04-09,661387
2018-04-10,656532
2018-04-11,667293
2018-04-12,660653
2018-04-13,647156
2018-04-14,601415
2018-04-15,625874
2018-04-16,659367
2018-04-17,646989
2018-04-18,663132
2018-04-19,655849
2018-04-20,642042
2018-04-21,619957
2018-04-22,602013
2018-04-23,644855
2018-04-24,634189
2018-04-25,575916
2018-04-26,626719
2018-04-27,605713
2018-04-28,570950
2018-04-29,548668
2018-04-30,600320
2018-05-01,596431
2018-05-02,644331
2018-05-03,646591
2018-05-04,627305
2018-05-05,539952
2018-05-06,528868
2018-05-07,597423
2018-05-08,605990
2018-05-09,599677
2018-05-10,562479
2018-05-11,552509
2018-05-12,527791
2018-05-13,528759
2018-05-14,629382
2018-05-15,832585
2018-05-16,664097
2018-05-17,624429
2018-05-18,593244
2018-05-19,563042
2018-05-20,556273
2018-05-21,608944
