Date,"Asma"
2017-05-21,271
2017-05-22,315
2017-05-23,374
2017-05-24,334
2017-05-25,295
2017-05-26,307
2017-05-27,217
2017-05-28,242
2017-05-29,363
2017-05-30,340
2017-05-31,286
2017-06-01,292
2017-06-02,263
2017-06-03,251
2017-06-04,252
2017-06-05,309
2017-06-06,305
2017-06-07,286
2017-06-08,247
2017-06-09,246
2017-06-10,258
2017-06-11,241
2017-06-12,286
2017-06-13,273
2017-06-14,331
2017-06-15,266
2017-06-16,257
2017-06-17,191
2017-06-18,197
2017-06-19,273
2017-06-20,273
2017-06-21,234
2017-06-22,256
2017-06-23,238
2017-06-24,229
2017-06-25,196
2017-06-26,263
2017-06-27,247
2017-06-28,223
2017-06-29,258
2017-06-30,225
2017-07-01,169
2017-07-02,218
2017-07-03,272
2017-07-04,236
2017-07-05,225
2017-07-06,256
2017-07-07,210
2017-07-08,161
2017-07-09,230
2017-07-10,248
2017-07-11,256
2017-07-12,261
2017-07-13,235
2017-07-14,210
2017-07-15,197
2017-07-16,214
2017-07-17,250
2017-07-18,238
2017-07-19,246
2017-07-20,218
2017-07-21,199
2017-07-22,180
2017-07-23,188
2017-07-24,244
2017-07-25,269
2017-07-26,175
2017-07-27,186
2017-07-28,154
2017-07-29,136
2017-07-30,161
2017-07-31,171
2017-08-01,172
2017-08-02,164
2017-08-03,145
2017-08-04,121
2017-08-05,154
2017-08-06,130
2017-08-07,161
2017-08-08,202
2017-08-09,158
2017-08-10,175
2017-08-11,127
2017-08-12,109
2017-08-13,147
2017-08-14,160
2017-08-15,128
2017-08-16,180
2017-08-17,189
2017-08-18,134
2017-08-19,150
2017-08-20,163
2017-08-21,174
2017-08-22,197
2017-08-23,233
2017-08-24,192
2017-08-25,214
2017-08-26,172
2017-08-27,230
2017-08-28,221
2017-08-29,243
2017-08-30,242
2017-08-31,186
2017-09-01,241
2017-09-02,168
2017-09-03,209
2017-09-04,295
2017-09-05,244
2017-09-06,229
2017-09-07,244
2017-09-08,239
2017-09-09,215
2017-09-10,303
2017-09-11,296
2017-09-12,274
2017-09-13,264
2017-09-14,286
2017-09-15,268
2017-09-16,235
2017-09-17,225
2017-09-18,308
