Date,"Broncopneumopatia cronica ostruttiva"
2018-07-30,148
2018-07-31,130
2018-08-01,130
2018-08-02,162
2018-08-03,157
2018-08-04,117
2018-08-05,118
2018-08-06,151
2018-08-07,137
2018-08-08,168
2018-08-09,170
2018-08-10,207
2018-08-11,150
2018-08-12,124
2018-08-13,161
2018-08-14,137
2018-08-15,119
2018-08-16,141
2018-08-17,172
2018-08-18,142
2018-08-19,134
2018-08-20,176
2018-08-21,187
2018-08-22,193
2018-08-23,174
2018-08-24,165
2018-08-25,142
2018-08-26,149
2018-08-27,216
2018-08-28,230
2018-08-29,217
2018-08-30,181
2018-08-31,180
2018-09-01,170
2018-09-02,178
2018-09-03,270
2018-09-04,266
2018-09-05,228
2018-09-06,223
2018-09-07,223
2018-09-08,152
2018-09-09,193
2018-09-10,241
2018-09-11,290
2018-09-12,223
2018-09-13,225
2018-09-14,212
2018-09-15,177
2018-09-16,192
2018-09-17,223
2018-09-18,211
2018-09-19,216
2018-09-20,236
2018-09-21,235
2018-09-22,145
2018-09-23,152
2018-09-24,228
2018-09-25,189
2018-09-26,229
2018-09-27,246
2018-09-28,175
2018-09-29,157
2018-09-30,143
2018-10-01,213
2018-10-02,207
2018-10-03,197
2018-10-04,266
2018-10-05,267
2018-10-06,225
2018-10-07,170
2018-10-08,278
2018-10-09,266
2018-10-10,278
2018-10-11,285
2018-10-12,254
2018-10-13,225
2018-10-14,223
2018-10-15,307
2018-10-16,295
2018-10-17,318
2018-10-18,316
2018-10-19,418
2018-10-20,233
2018-10-21,239
2018-10-22,322
2018-10-23,342
2018-10-24,235
2018-10-25,251
2018-10-26,259
2018-10-27,240
2018-10-28,251
2018-10-29,419
2018-10-30,253
2018-10-31,263
2018-11-01,227
2018-11-02,246
2018-11-03,226
2018-11-04,201
2018-11-05,249
2018-11-06,251
2018-11-07,279
2018-11-08,290
2018-11-09,237
2018-11-10,198
2018-11-11,233
2018-11-12,290
2018-11-13,310
2018-11-14,346
2018-11-15,334
2018-11-16,318
2018-11-17,287
2018-11-18,213
2018-11-19,418
2018-11-20,313
2018-11-21,345
2018-11-22,317
2018-11-23,240
2018-11-24,263
2018-11-25,176
2018-11-26,235
2018-11-27,206
2018-11-28,215
2018-11-29,175
2018-11-30,193
2018-12-01,137
2018-12-02,151
2018-12-03,192
2018-12-04,170
2018-12-05,201
2018-12-06,289
2018-12-07,177
2018-12-08,206
2018-12-09,154
