Date,"Mialgia"
2018-01-04,143
2018-01-05,115
2018-01-06,210
2018-01-07,264
2018-01-08,181
2018-01-09,136
2018-01-10,149
2018-01-11,150
2018-01-12,138
2018-01-13,120
2018-01-14,109
2018-01-15,124
2018-01-16,95
2018-01-17,120
2018-01-18,128
2018-01-19,133
2018-01-20,123
2018-01-21,109
2018-01-22,128
2018-01-23,133
2018-01-24,108
2018-01-25,135
2018-01-26,127
2018-01-27,114
2018-01-28,118
2018-01-29,128
2018-01-30,129
2018-01-31,123
2018-02-01,136
2018-02-02,122
2018-02-03,150
2018-02-04,148
2018-02-05,176
2018-02-06,200
2018-02-07,152
2018-02-08,150
2018-02-09,128
2018-02-10,117
2018-02-11,98
2018-02-12,128
2018-02-13,116
2018-02-14,103
2018-02-15,123
2018-02-16,102
2018-02-17,94
2018-02-18,126
2018-02-19,136
2018-02-20,138
2018-02-21,123
2018-02-22,105
2018-02-23,126
2018-02-24,102
2018-02-25,104
2018-02-26,124
2018-02-27,118
2018-02-28,102
2018-03-01,112
2018-03-02,138
2018-03-03,102
2018-03-04,101
2018-03-05,91
2018-03-06,102
2018-03-07,116
2018-03-08,107
2018-03-09,120
2018-03-10,111
2018-03-11,104
2018-03-12,115
2018-03-13,113
2018-03-14,141
2018-03-15,94
2018-03-16,119
2018-03-17,82
2018-03-18,96
2018-03-19,114
2018-03-20,121
2018-03-21,111
2018-03-22,116
2018-03-23,113
2018-03-24,109
2018-03-25,104
2018-03-26,105
2018-03-27,118
2018-03-28,107
2018-03-29,103
2018-03-30,105
2018-03-31,72
2018-04-01,67
2018-04-02,93
2018-04-03,135
2018-04-04,147
2018-04-05,147
2018-04-06,132
2018-04-07,87
2018-04-08,118
2018-04-09,157
2018-04-10,121
2018-04-11,125
2018-04-12,136
2018-04-13,103
2018-04-14,103
2018-04-15,130
2018-04-16,127
2018-04-17,133
2018-04-18,137
2018-04-19,112
2018-04-20,124
2018-04-21,88
2018-04-22,92
2018-04-23,115
2018-04-24,118
2018-04-25,99
2018-04-26,101
2018-04-27,90
2018-04-28,88
2018-04-29,104
2018-04-30,105
2018-05-01,98
2018-05-02,123
2018-05-03,129
2018-05-04,106
2018-05-05,102
2018-05-06,91
2018-05-07,114
2018-05-08,103
2018-05-09,132
2018-05-10,106
2018-05-11,123
2018-05-12,95
2018-05-13,102
2018-05-14,131
2018-05-15,125
2018-05-16,116
2018-05-17,129
2018-05-18,128
2018-05-19,106
2018-05-20,114
2018-05-21,129
2018-05-22,146
2018-05-23,133
2018-05-24,118
2018-05-25,104
2018-05-26,87
2018-05-27,87
2018-05-28,96
2018-05-29,128
2018-05-30,115
2018-05-31,105
2018-06-01,99
2018-06-02,82
2018-06-03,94
2018-06-04,118
2018-06-05,119
2018-06-06,129
2018-06-07,111
2018-06-08,117
2018-06-09,103
2018-06-10,90
2018-06-11,106
2018-06-12,105
2018-06-13,117
2018-06-14,128
2018-06-15,98
2018-06-16,91
2018-06-17,104
2018-06-18,141
2018-06-19,107
