Date,"Rinite"
2018-06-09,95
2018-06-10,113
2018-06-11,147
2018-06-12,121
2018-06-13,147
2018-06-14,138
2018-06-15,114
2018-06-16,100
2018-06-17,134
2018-06-18,141
2018-06-19,127
2018-06-20,139
2018-06-21,118
2018-06-22,181
2018-06-23,114
2018-06-24,113
2018-06-25,141
2018-06-26,135
2018-06-27,144
2018-06-28,143
2018-06-29,118
2018-06-30,126
2018-07-01,117
2018-07-02,125
2018-07-03,117
2018-07-04,80
2018-07-05,67
2018-07-06,101
2018-07-07,102
2018-07-08,109
2018-07-09,120
2018-07-10,102
2018-07-11,121
2018-07-12,110
2018-07-13,94
2018-07-14,83
2018-07-15,71
2018-07-16,101
2018-07-17,116
2018-07-18,121
2018-07-19,110
2018-07-20,109
2018-07-21,104
2018-07-22,66
2018-07-23,96
2018-07-24,79
2018-07-25,100
2018-07-26,91
2018-07-27,50
2018-07-28,48
2018-07-29,35
2018-07-30,54
2018-07-31,46
2018-08-01,91
2018-08-02,98
2018-08-03,131
2018-08-04,64
2018-08-05,74
2018-08-06,82
2018-08-07,100
2018-08-08,116
2018-08-09,132
2018-08-10,99
2018-08-11,103
2018-08-12,92
2018-08-13,69
2018-08-14,111
2018-08-15,71
2018-08-16,94
2018-08-17,101
2018-08-18,102
2018-08-19,100
2018-08-20,125
2018-08-21,101
2018-08-22,139
2018-08-23,102
2018-08-24,137
2018-08-25,75
2018-08-26,112
2018-08-27,110
2018-08-28,154
2018-08-29,164
2018-08-30,153
2018-08-31,148
2018-09-01,111
2018-09-02,116
2018-09-03,133
2018-09-04,145
2018-09-05,153
2018-09-06,162
2018-09-07,120
2018-09-08,125
2018-09-09,124
2018-09-10,172
2018-09-11,172
2018-09-12,150
2018-09-13,131
2018-09-14,142
2018-09-15,120
2018-09-16,119
2018-09-17,138
2018-09-18,167
2018-09-19,152
2018-09-20,158
2018-09-21,181
2018-09-22,115
2018-09-23,132
2018-09-24,183
2018-09-25,196
2018-09-26,228
2018-09-27,243
2018-09-28,202
2018-09-29,176
2018-09-30,160
2018-10-01,206
2018-10-02,174
2018-10-03,193
2018-10-04,189
2018-10-05,161
2018-10-06,145
2018-10-07,146
2018-10-08,186
2018-10-09,167
2018-10-10,214
2018-10-11,189
2018-10-12,165
2018-10-13,129
2018-10-14,160
2018-10-15,221
2018-10-16,172
2018-10-17,226
2018-10-18,187
2018-10-19,195
2018-10-20,157
2018-10-21,142
2018-10-22,186
2018-10-23,175
2018-10-24,187
2018-10-25,211
2018-10-26,130
2018-10-27,136
2018-10-28,154
2018-10-29,148
2018-10-30,128
2018-10-31,170
2018-11-01,143
2018-11-02,124
2018-11-03,81
2018-11-04,105
2018-11-05,121
2018-11-06,125
2018-11-07,126
2018-11-08,118
2018-11-09,115
2018-11-10,97
2018-11-11,132
2018-11-12,189
2018-11-13,183
2018-11-14,179
2018-11-15,182
2018-11-16,179
2018-11-17,155
2018-11-18,192
2018-11-19,214
2018-11-20,203
2018-11-21,176
2018-11-22,199
2018-11-23,148
2018-11-24,133
2018-11-25,149
2018-11-26,183
2018-11-27,177
2018-11-28,172
2018-11-29,190
2018-11-30,172
2018-12-01,157
2018-12-02,144
2018-12-03,177
2018-12-04,162
2018-12-05,198
2018-12-06,149
2018-12-07,117
2018-12-08,74
2018-12-09,114
