Date,"Sarcoidosi"
2017-09-06,356
2017-09-07,359
2017-09-08,341
2017-09-09,304
2017-09-10,264
2017-09-11,328
2017-09-12,340
2017-09-13,516
2017-09-14,485
2017-09-15,363
2017-09-16,320
2017-09-17,309
2017-09-18,393
2017-09-19,395
2017-09-20,399
2017-09-21,660
2017-09-22,396
2017-09-23,245
2017-09-24,270
2017-09-25,408
2017-09-26,400
2017-09-27,419
2017-09-28,415
2017-09-29,329
2017-09-30,252
2017-10-01,273
2017-10-02,291
2017-10-03,341
2017-10-04,349
2017-10-05,380
2017-10-06,283
2017-10-07,244
2017-10-08,266
2017-10-09,377
2017-10-10,436
2017-10-11,406
2017-10-12,361
2017-10-13,341
2017-10-14,276
2017-10-15,262
2017-10-16,380
2017-10-17,444
2017-10-18,404
2017-10-19,448
2017-10-20,381
2017-10-21,315
2017-10-22,287
2017-10-23,411
2017-10-24,536
2017-10-25,400
2017-10-26,366
2017-10-27,338
2017-10-28,255
2017-10-29,250
2017-10-30,359
2017-10-31,363
2017-11-01,250
2017-11-02,443
2017-11-03,386
2017-11-04,273
2017-11-05,272
2017-11-06,606
2017-11-07,465
2017-11-08,477
2017-11-09,428
2017-11-10,401
2017-11-11,307
2017-11-12,317
2017-11-13,464
2017-11-14,431
2017-11-15,544
2017-11-16,507
2017-11-17,460
2017-11-18,319
2017-11-19,257
2017-11-20,501
2017-11-21,497
2017-11-22,466
2017-11-23,479
2017-11-24,429
2017-11-25,323
2017-11-26,370
2017-11-27,531
2017-11-28,411
2017-11-29,423
2017-11-30,393
2017-12-01,349
2017-12-02,286
2017-12-03,259
2017-12-04,393
2017-12-05,360
2017-12-06,401
2017-12-07,381
2017-12-08,289
2017-12-09,274
2017-12-10,271
2017-12-11,410
2017-12-12,376
2017-12-13,363
2017-12-14,353
2017-12-15,329
2017-12-16,254
2017-12-17,274
2017-12-18,353
2017-12-19,367
2017-12-20,346
2017-12-21,375
2017-12-22,363
2017-12-23,223
2017-12-24,178
2017-12-25,200
2017-12-26,518
2017-12-27,317
2017-12-28,338
2017-12-29,327
2017-12-30,258
2017-12-31,186
2018-01-01,254
2018-01-02,334
2018-01-03,344
2018-01-04,315
2018-01-05,386
2018-01-06,284
2018-01-07,281
2018-01-08,401
2018-01-09,422
2018-01-10,451
2018-01-11,485
2018-01-12,390
2018-01-13,335
2018-01-14,384
2018-01-15,464
2018-01-16,561
2018-01-17,524
2018-01-18,515
2018-01-19,420
2018-01-20,375
2018-01-21,331
2018-01-22,492
2018-01-23,438
2018-01-24,475
2018-01-25,427
2018-01-26,391
2018-01-27,334
2018-01-28,347
2018-01-29,433
2018-01-30,497
