Date,"Vomito"
2018-01-26,143
2018-01-27,152
2018-01-28,182
2018-01-29,191
2018-01-30,177
2018-01-31,159
2018-02-01,148
2018-02-02,140
2018-02-03,150
2018-02-04,217
2018-02-05,208
2018-02-06,157
2018-02-07,143
2018-02-08,159
2018-02-09,142
2018-02-10,167
2018-02-11,149
2018-02-12,165
2018-02-13,162
2018-02-14,193
2018-02-15,170
2018-02-16,146
2018-02-17,126
2018-02-18,164
2018-02-19,173
2018-02-20,169
2018-02-21,160
2018-02-22,173
2018-02-23,183
2018-02-24,165
2018-02-25,163
2018-02-26,149
2018-02-27,121
2018-02-28,133
2018-03-01,107
2018-03-02,158
2018-03-03,127
2018-03-04,147
2018-03-05,133
2018-03-06,142
2018-03-07,150
2018-03-08,121
2018-03-09,162
2018-03-10,125
2018-03-11,153
2018-03-12,166
2018-03-13,163
2018-03-14,150
2018-03-15,126
2018-03-16,131
2018-03-17,151
2018-03-18,163
2018-03-19,171
2018-03-20,183
2018-03-21,163
2018-03-22,143
2018-03-23,172
2018-03-24,134
2018-03-25,163
2018-03-26,131
2018-03-27,165
2018-03-28,128
2018-03-29,138
2018-03-30,123
2018-03-31,144
2018-04-01,169
2018-04-02,169
2018-04-03,207
2018-04-04,182
2018-04-05,182
2018-04-06,136
2018-04-07,134
2018-04-08,164
2018-04-09,134
2018-04-10,151
2018-04-11,131
2018-04-12,158
2018-04-13,157
2018-04-14,147
2018-04-15,179
2018-04-16,155
2018-04-17,116
2018-04-18,141
2018-04-19,157
2018-04-20,107
2018-04-21,94
2018-04-22,150
2018-04-23,143
2018-04-24,130
2018-04-25,153
2018-04-26,143
2018-04-27,125
2018-04-28,132
2018-04-29,119
2018-04-30,118
2018-05-01,114
2018-05-02,130
2018-05-03,124
2018-05-04,139
2018-05-05,135
2018-05-06,135
2018-05-07,127
2018-05-08,146
2018-05-09,137
2018-05-10,128
2018-05-11,131
2018-05-12,114
2018-05-13,148
2018-05-14,158
2018-05-15,159
2018-05-16,150
2018-05-17,148
2018-05-18,123
2018-05-19,125
2018-05-20,144
2018-05-21,136
2018-05-22,139
2018-05-23,126
2018-05-24,136
2018-05-25,98
2018-05-26,127
2018-05-27,123
2018-05-28,147
2018-05-29,108
2018-05-30,123
2018-05-31,130
2018-06-01,116
2018-06-02,152
2018-06-03,141
2018-06-04,126
2018-06-05,125
2018-06-06,109
2018-06-07,103
2018-06-08,104
2018-06-09,107
2018-06-10,140
2018-06-11,137
2018-06-12,116
2018-06-13,147
2018-06-14,130
2018-06-15,140
2018-06-16,104
2018-06-17,131
2018-06-18,145
2018-06-19,147
2018-06-20,117
2018-06-21,128
2018-06-22,216
2018-06-23,153
2018-06-24,151
2018-06-25,161
2018-06-26,218
2018-06-27,126
2018-06-28,151
2018-06-29,202
2018-06-30,177
2018-07-01,174
2018-07-02,133
2018-07-03,120
2018-07-04,99
2018-07-05,113
2018-07-06,128
2018-07-07,124
2018-07-08,75
2018-07-09,148
2018-07-10,92
2018-07-11,73
2018-07-12,78
2018-07-13,128
2018-07-14,121
2018-07-15,86
2018-07-16,135
2018-07-17,118
2018-07-18,131
2018-07-19,144
2018-07-20,145
2018-07-21,105
2018-07-22,137
2018-07-23,135
2018-07-24,98
2018-07-25,112
2018-07-26,103
2018-07-27,88
2018-07-28,81
2018-07-29,90
2018-07-30,90
2018-07-31,66
2018-08-01,96
2018-08-02,155
2018-08-03,74
2018-08-04,105
2018-08-05,115
2018-08-06,94
2018-08-07,125
2018-08-08,128
2018-08-09,102
2018-08-10,96
2018-08-11,106
2018-08-12,131
2018-08-13,107
2018-08-14,120
2018-08-15,115
2018-08-16,127
2018-08-17,120
2018-08-18,120
2018-08-19,131
2018-08-20,130
2018-08-21,151
2018-08-22,148
2018-08-23,146
2018-08-24,118
2018-08-25,113
2018-08-26,104
2018-08-27,130
2018-08-28,146
2018-08-29,171
2018-08-30,130
2018-08-31,116
2018-09-01,154
2018-09-02,133
2018-09-03,161
2018-09-04,125
2018-09-05,159
2018-09-06,153
2018-09-07,152
2018-09-08,111
2018-09-09,146
2018-09-10,141
2018-09-11,156
2018-09-12,134
2018-09-13,153
2018-09-14,136
2018-09-15,194
2018-09-16,141
2018-09-17,140
2018-09-18,101
2018-09-19,99
2018-09-20,144
2018-09-21,154
2018-09-22,135
2018-09-23,165
2018-09-24,161
2018-09-25,146
2018-09-26,128
2018-09-27,158
2018-09-28,149
2018-09-29,191
2018-09-30,155
2018-10-01,157
2018-10-02,149
2018-10-03,157
2018-10-04,148
2018-10-05,125
2018-10-06,138
2018-10-07,151
2018-10-08,149
2018-10-09,168
2018-10-10,143
2018-10-11,156
2018-10-12,189
2018-10-13,129
2018-10-14,145
2018-10-15,164
2018-10-16,159
2018-10-17,159
2018-10-18,155
2018-10-19,133
2018-10-20,139
2018-10-21,146
2018-10-22,174
2018-10-23,162
2018-10-24,127
2018-10-25,168
2018-10-26,137
2018-10-27,149
2018-10-28,164
2018-10-29,309
2018-10-30,179
2018-10-31,147
2018-11-01,177
2018-11-02,196
2018-11-03,189
2018-11-04,190
2018-11-05,226
2018-11-06,203
2018-11-07,212
2018-11-08,224
2018-11-09,189
2018-11-10,188
2018-11-11,221
2018-11-12,215
2018-11-13,222
2018-11-14,217
2018-11-15,174
2018-11-16,195
2018-11-17,190
2018-11-18,223
2018-11-19,231
2018-11-20,198
2018-11-21,164
2018-11-22,167
2018-11-23,142
2018-11-24,140
2018-11-25,152
2018-11-26,159
2018-11-27,136
2018-11-28,135
2018-11-29,305
2018-11-30,142
2018-12-01,139
2018-12-02,121
2018-12-03,166
2018-12-04,130
2018-12-05,157
2018-12-06,155
2018-12-07,119
2018-12-08,147
2018-12-09,152
