Date,"Croup"
2017-06-13,65
2017-06-14,64
2017-06-15,45
2017-06-16,48
2017-06-17,59
2017-06-18,66
2017-06-19,60
2017-06-20,73
2017-06-21,67
2017-06-22,49
2017-06-23,55
2017-06-24,32
2017-06-25,56
2017-06-26,57
2017-06-27,54
2017-06-28,64
2017-06-29,48
2017-06-30,44
2017-07-01,46
2017-07-02,40
2017-07-03,46
2017-07-04,68
2017-07-05,53
2017-07-06,46
2017-07-07,55
2017-07-08,57
2017-07-09,58
2017-07-10,42
2017-07-11,66
2017-07-12,55
2017-07-13,53
2017-07-14,53
2017-07-15,40
2017-07-16,51
2017-07-17,54
2017-07-18,43
2017-07-19,51
2017-07-20,51
2017-07-21,243
2017-07-22,73
2017-07-23,41
2017-07-24,65
2017-07-25,35
2017-07-26,41
2017-07-27,50
2017-07-28,37
2017-07-29,35
2017-07-30,33
2017-07-31,48
2017-08-01,34
2017-08-02,59
2017-08-03,30
2017-08-04,33
2017-08-05,36
2017-08-06,52
2017-08-07,50
2017-08-08,93
2017-08-09,53
2017-08-10,41
2017-08-11,35
2017-08-12,33
2017-08-13,65
2017-08-14,44
2017-08-15,51
2017-08-16,44
2017-08-17,55
2017-08-18,57
2017-08-19,47
2017-08-20,43
2017-08-21,64
2017-08-22,40
2017-08-23,41
2017-08-24,53
2017-08-25,46
2017-08-26,72
2017-08-27,50
2017-08-28,57
2017-08-29,56
2017-08-30,55
2017-08-31,54
2017-09-01,61
2017-09-02,50
2017-09-03,64
2017-09-04,56
2017-09-05,34
2017-09-06,62
2017-09-07,51
2017-09-08,62
2017-09-09,48
2017-09-10,61
2017-09-11,55
2017-09-12,90
2017-09-13,92
2017-09-14,57
2017-09-15,68
2017-09-16,51
2017-09-17,94
2017-09-18,73
2017-09-19,82
2017-09-20,96
2017-09-21,88
2017-09-22,85
2017-09-23,51
2017-09-24,81
2017-09-25,94
2017-09-26,104
2017-09-27,76
2017-09-28,120
2017-09-29,92
2017-09-30,67
2017-10-01,66
2017-10-02,101
2017-10-03,78
2017-10-04,133
2017-10-05,92
2017-10-06,75
2017-10-07,71
2017-10-08,80
2017-10-09,87
2017-10-10,118
2017-10-11,99
2017-10-12,72
2017-10-13,109
2017-10-14,75
2017-10-15,90
2017-10-16,157
2017-10-17,101
2017-10-18,88
2017-10-19,90
2017-10-20,76
2017-10-21,66
2017-10-22,57
2017-10-23,92
2017-10-24,95
2017-10-25,84
2017-10-26,70
2017-10-27,72
2017-10-28,74
2017-10-29,63
2017-10-30,78
2017-10-31,75
2017-11-01,80
2017-11-02,73
2017-11-03,66
2017-11-04,44
2017-11-05,83
2017-11-06,84
2017-11-07,96
2017-11-08,77
2017-11-09,77
2017-11-10,76
2017-11-11,59
2017-11-12,67
2017-11-13,79
2017-11-14,85
2017-11-15,53
2017-11-16,91
2017-11-17,77
2017-11-18,68
2017-11-19,81
2017-11-20,71
2017-11-21,82
