Date,"Vaccino antinfluenzale"
2017-08-18,10
2017-08-19,11
2017-08-20,7
2017-08-21,20
2017-08-22,20
2017-08-23,21
2017-08-24,30
2017-08-25,23
2017-08-26,16
2017-08-27,14
2017-08-28,17
2017-08-29,18
2017-08-30,23
2017-08-31,22
2017-09-01,16
2017-09-02,25
2017-09-03,29
2017-09-04,38
2017-09-05,34
2017-09-06,29
2017-09-07,43
2017-09-08,22
2017-09-09,17
2017-09-10,24
2017-09-11,36
2017-09-12,38
2017-09-13,47
2017-09-14,46
2017-09-15,32
2017-09-16,38
2017-09-17,25
2017-09-18,37
2017-09-19,28
2017-09-20,35
2017-09-21,51
2017-09-22,30
2017-09-23,36
2017-09-24,25
2017-09-25,48
2017-09-26,58
2017-09-27,42
2017-09-28,50
2017-09-29,45
2017-09-30,28
2017-10-01,37
2017-10-02,50
2017-10-03,71
2017-10-04,35
2017-10-05,48
2017-10-06,49
2017-10-07,27
2017-10-08,34
2017-10-09,60
2017-10-10,51
2017-10-11,69
2017-10-12,74
2017-10-13,37
2017-10-14,32
2017-10-15,40
2017-10-16,56
2017-10-17,57
2017-10-18,79
2017-10-19,47
2017-10-20,54
2017-10-21,38
2017-10-22,48
2017-10-23,75
2017-10-24,134
2017-10-25,156
2017-10-26,88
2017-10-27,80
2017-10-28,41
2017-10-29,45
2017-10-30,75
2017-10-31,62
2017-11-01,47
2017-11-02,90
2017-11-03,83
2017-11-04,63
2017-11-05,81
2017-11-06,134
2017-11-07,185
2017-11-08,161
2017-11-09,216
2017-11-10,167
2017-11-11,123
2017-11-12,107
2017-11-13,180
2017-11-14,208
2017-11-15,186
2017-11-16,209
2017-11-17,143
2017-11-18,130
2017-11-19,95
2017-11-20,123
2017-11-21,170
2017-11-22,157
2017-11-23,166
2017-11-24,146
2017-11-25,107
2017-11-26,118
2017-11-27,146
2017-11-28,134
2017-11-29,153
2017-11-30,149
2017-12-01,112
2017-12-02,108
2017-12-03,66
2017-12-04,134
2017-12-05,116
2017-12-06,106
2017-12-07,90
2017-12-08,76
2017-12-09,65
2017-12-10,73
2017-12-11,73
2017-12-12,101
2017-12-13,93
2017-12-14,94
2017-12-15,90
2017-12-16,45
2017-12-17,53
2017-12-18,59
2017-12-19,46
2017-12-20,77
2017-12-21,48
2017-12-22,46
2017-12-23,37
2017-12-24,32
2017-12-25,43
2017-12-26,84
2017-12-27,75
2017-12-28,88
2017-12-29,115
2017-12-30,75
2017-12-31,61
2018-01-01,79
2018-01-02,82
2018-01-03,95
2018-01-04,107
2018-01-05,121
2018-01-06,117
2018-01-07,91
2018-01-08,79
2018-01-09,114
2018-01-10,74
2018-01-11,112
2018-01-12,77
2018-01-13,85
2018-01-14,101
2018-01-15,106
2018-01-16,97
2018-01-17,88
2018-01-18,165
2018-01-19,186
2018-01-20,103
2018-01-21,73
2018-01-22,74
2018-01-23,62
2018-01-24,75
2018-01-25,64
2018-01-26,86
2018-01-27,83
2018-01-28,58
2018-01-29,59
2018-01-30,72
2018-01-31,66
2018-02-01,77
2018-02-02,52
2018-02-03,60
2018-02-04,80
2018-02-05,102
2018-02-06,56
2018-02-07,55
2018-02-08,46
2018-02-09,53
2018-02-10,39
2018-02-11,39
2018-02-12,49
2018-02-13,33
2018-02-14,37
2018-02-15,44
2018-02-16,39
2018-02-17,33
2018-02-18,41
2018-02-19,36
2018-02-20,41
2018-02-21,51
2018-02-22,40
2018-02-23,34
2018-02-24,35
2018-02-25,25
2018-02-26,36
2018-02-27,35
2018-02-28,38
2018-03-01,30
2018-03-02,20
2018-03-03,23
2018-03-04,13
2018-03-05,20
2018-03-06,28
2018-03-07,27
2018-03-08,20
2018-03-09,19
2018-03-10,23
2018-03-11,24
2018-03-12,23
2018-03-13,17
2018-03-14,19
2018-03-15,23
2018-03-16,10
2018-03-17,17
2018-03-18,14
2018-03-19,20
2018-03-20,12
2018-03-21,22
2018-03-22,22
2018-03-23,19
2018-03-24,13
2018-03-25,15
2018-03-26,24
2018-03-27,19
2018-03-28,21
2018-03-29,13
2018-03-30,13
2018-03-31,14
2018-04-01,10
2018-04-02,8
2018-04-03,23
2018-04-04,23
2018-04-05,13
2018-04-06,20
2018-04-07,9
2018-04-08,14
2018-04-09,20
2018-04-10,24
2018-04-11,10
2018-04-12,13
2018-04-13,16
2018-04-14,9
2018-04-15,7
2018-04-16,16
2018-04-17,18
2018-04-18,10
2018-04-19,19
2018-04-20,8
2018-04-21,3
2018-04-22,11
2018-04-23,5
2018-04-24,8
2018-04-25,9
2018-04-26,15
2018-04-27,14
2018-04-28,3
2018-04-29,3
2018-04-30,11
2018-05-01,9
2018-05-02,19
2018-05-03,13
2018-05-04,9
2018-05-05,14
2018-05-06,21
2018-05-07,15
2018-05-08,14
2018-05-09,24
2018-05-10,37
2018-05-11,28
2018-05-12,54
2018-05-13,28
2018-05-14,18
2018-05-15,26
2018-05-16,33
2018-05-17,28
2018-05-18,29
2018-05-19,20
2018-05-20,18
2018-05-21,23
2018-05-22,40
2018-05-23,51
2018-05-24,23
2018-05-25,30
2018-05-26,50
2018-05-27,14
2018-05-28,76
2018-05-29,22
2018-05-30,53
2018-05-31,38
2018-06-01,25
2018-06-02,22
2018-06-03,28
2018-06-04,27
2018-06-05,43
2018-06-06,54
2018-06-07,92
2018-06-08,76
2018-06-09,39
2018-06-10,29
2018-06-11,39
2018-06-12,49
2018-06-13,62
2018-06-14,46
2018-06-15,42
2018-06-16,31
2018-06-17,71
2018-06-18,81
2018-06-19,75
2018-06-20,64
2018-06-21,48
2018-06-22,71
2018-06-23,32
2018-06-24,33
2018-06-25,40
2018-06-26,25
2018-06-27,39
2018-06-28,89
2018-06-29,19
2018-06-30,26
2018-07-01,13
2018-07-02,22
2018-07-03,33
2018-07-04,18
2018-07-05,36
2018-07-06,23
2018-07-07,13
2018-07-08,3
2018-07-09,15
2018-07-10,19
2018-07-11,17
2018-07-12,17
2018-07-13,25
2018-07-14,36
2018-07-15,20
2018-07-16,31
2018-07-17,27
2018-07-18,34
2018-07-19,18
2018-07-20,22
2018-07-21,15
2018-07-22,16
2018-07-23,31
2018-07-24,15
2018-07-25,23
2018-07-26,14
2018-07-27,7
2018-07-28,9
2018-07-29,4
2018-07-30,12
2018-07-31,10
2018-08-01,12
2018-08-02,11
2018-08-03,11
2018-08-04,22
2018-08-05,47
2018-08-06,67
2018-08-07,51
2018-08-08,48
2018-08-09,22
2018-08-10,34
2018-08-11,19
2018-08-12,8
2018-08-13,15
2018-08-14,28
2018-08-15,21
2018-08-16,67
2018-08-17,48
2018-08-18,19
2018-08-19,48
2018-08-20,76
2018-08-21,20
2018-08-22,35
2018-08-23,37
2018-08-24,28
2018-08-25,32
2018-08-26,80
2018-08-27,13
2018-08-28,72
2018-08-29,72
2018-08-30,30
2018-08-31,66
2018-09-01,76
2018-09-02,21
2018-09-03,71
2018-09-04,74
2018-09-05,76
2018-09-06,77
2018-09-07,25
2018-09-08,90
2018-09-09,91
2018-09-10,25
2018-09-11,49
2018-09-12,58
2018-09-13,94
2018-09-14,37
2018-09-15,41
2018-09-16,22
2018-09-17,17
2018-09-18,35
2018-09-19,46
2018-09-20,21
2018-09-21,23
2018-09-22,31
2018-09-23,37
2018-09-24,50
2018-09-25,53
2018-09-26,55
2018-09-27,68
2018-09-28,50
2018-09-29,37
2018-09-30,45
2018-10-01,53
2018-10-02,61
2018-10-03,52
2018-10-04,39
2018-10-05,57
2018-10-06,40
2018-10-07,34
2018-10-08,42
2018-10-09,52
2018-10-10,50
2018-10-11,63
2018-10-12,79
2018-10-13,60
2018-10-14,39
